district,villas,apartments,needs_verification,total
078,40088,19586,3,59677
136,49548,2000,264,51812
089,18444,33129,134,51707
246,50,44816,6556,51422
168,5792,40450,1676,47918
155,46460,150,36,46646
175,42900,945,54,43899
110,20225,21443,114,41782
133,23932,14774,407,39113
154,38125,111,8,38244
226,37568,0,0,37568
080,33912,82,0,33994
073,9618,22391,551,32560
229,32468,0,0,32468
147,13608,18513,54,32175
156,0,31325,801,32126
095,4519,26412,55,30986
077,16677,8651,23,25351
238,2,11070,8,11080
230,2000,0,5898,7898
074,5086,2000,0,7086
041,743,0,5182,5925
079,2000,2000,264,4264
038,1569,0,2609,4178
063,143,2,4005,4150
075,2000,2000,44,4044
123,2000,2000,20,4020
091,2000,2000,11,4011
134,2000,2000,9,4009
149,2000,2000,5,4005
124,2000,2000,0,4000
094,2000,1746,3,3749
046,1824,0,1662,3486
115,1431,2000,0,3431
045,1950,0,1445,3395
061,1042,195,2072,3309
151,1194,2000,43,3237
200,2000,1145,0,3145
114,1131,2000,0,3131
090,2000,1089,1,3090
043,1702,0,1371,3073
117,1613,1210,209,3032
120,1912,0,984,2896
060,203,0,2616,2819
030,0,0,2810,2810
086,2000,762,0,2762
138,2000,730,11,2741
042,1513,0,1197,2710
101,2000,642,19,2661
023,646,2000,1,2647
040,1040,1,1585,2626
104,2000,597,11,2608
150,540,2000,22,2562
137,2000,0,558,2558
021,2000,6,545,2551
203,2000,526,15,2541
062,1002,0,1510,2512
152,2000,272,222,2494
076,2000,461,2,2463
026,216,4,2237,2457
083,2000,452,0,2452
144,2000,0,336,2336
113,2000,285,0,2285
064,1757,1,501,2259
128,2000,175,78,2253
029,351,0,1863,2214
012,1911,280,11,2202
103,2000,168,15,2183
066,2000,118,54,2172
072,2000,0,167,2167
028,328,1651,149,2128
019,2000,86,34,2120
126,102,2000,0,2102
139,2000,0,85,2085
071,2000,57,11,2068
141,2000,12,51,2063
085,1062,998,0,2060
082,2000,59,0,2059
127,2000,2,41,2043
111,2000,35,3,2038
022,2000,24,6,2030
013,2000,15,10,2025
108,2000,13,2,2015
166,2000,0,15,2015
248,2000,13,1,2014
130,2000,2,11,2013
112,2000,9,1,2010
172,0,2000,9,2009
097,2000,6,3,2009
237,2000,0,8,2008
143,2000,7,0,2007
047,2000,7,0,2007
135,2000,0,7,2007
014,2000,4,2,2006
002,2000,3,3,2006
001,2000,5,0,2005
239,0,2000,4,2004
096,2000,2,1,2003
107,2000,2,0,2002
145,2000,0,2,2002
098,2000,2,0,2002
009,2000,1,1,2002
003,2000,0,2,2002
068,2000,2,0,2002
227,2000,0,1,2001
099,2000,0,1,2001
005,2000,0,1,2001
106,2000,1,0,2001
240,0,2000,0,2000
225,2000,0,0,2000
228,2000,0,0,2000
100,2000,0,0,2000
102,2000,0,0,2000
093,2000,0,0,2000
081,2000,0,0,2000
142,2000,0,0,2000
105,2000,0,0,2000
087,2000,0,0,2000
235,2000,0,0,2000
231,2000,0,0,2000
088,2000,0,0,2000
007,1968,20,2,1990
004,1967,6,0,1973
054,1643,190,83,1916
236,1886,0,0,1886
232,1833,0,0,1833
048,0,0,1763,1763
039,350,0,1408,1758
016,1591,0,139,1730
020,1284,1,396,1681
159,1645,0,0,1645
092,1399,119,26,1544
070,1542,0,1,1543
051,1539,2,2,1543
006,1528,7,0,1535
044,1469,2,43,1514
153,1500,0,9,1509
164,686,0,756,1442
049,831,392,142,1365
157,0,0,1313,1313
053,1219,7,51,1277
245,23,1180,33,1236
132,1206,0,6,1212
017,886,1,321,1208
162,147,2,1058,1207
008,1183,0,3,1186
121,1151,0,4,1155
233,1094,0,0,1094
140,483,0,584,1067
069,885,160,11,1056
146,890,96,10,996
018,985,9,0,994
015,920,0,23,943
059,281,8,607,896
131,0,0,871,871
050,784,0,19,803
032,0,0,730,730
025,331,10,338,679
058,0,0,666,666
057,595,0,40,635
024,0,0,600,600
122,144,364,46,554
036,0,0,544,544
055,432,1,81,514
056,323,0,163,486
033,0,0,417,417
034,0,0,350,350
027,340,0,2,342
165,0,0,324,324
052,295,0,0,295
119,0,0,285,285
065,142,0,81,223
037,0,0,184,184
161,164,0,0,164
244,32,0,117,149
163,0,0,46,46
109,0,0,42,42
201,0,0,36,36
125,0,0,19,19
116,0,0,17,17
222,0,0,15,15
035,0,0,8,8
188,0,0,7,7
202,0,0,5,5
241,0,0,3,3
031,0,0,3,3
167,0,0,2,2
